Profile;Weekday;Hour;Occupancy;Lighting;Appliances
[Assembly] Multifunctional;True;14;0.2;0.05;0.6
[Assembly] Multifunctional;True;15;0.2;0.05;0.6
[Assembly] Multifunctional;True;16;0.2;0.05;0.5
[Assembly] Multifunctional;True;17;0.5;0.2;0.5
[Assembly] Multifunctional;True;18;0.5;0.2;0.7
[Assembly] Multifunctional;True;19;0.5;0.2;0.7
[Assembly] Multifunctional;True;20;0.8;0.2;0.8
[Assembly] Multifunctional;True;21;0.8;0.2;0.8
[Assembly] Multifunctional;True;22;0.8;0.2;0.8
[Assembly] Multifunctional;True;23;1;0.15;0.6
[Assembly] Multifunctional;True;24;1;0.15;0.6
[Assembly] Multifunctional;False;1;1;0;0.5
[Assembly] Multifunctional;False;2;1;0;0.5
[Assembly] Multifunctional;False;3;1;0;0.5
[Assembly] Multifunctional;False;4;1;0;0.5
[Assembly] Multifunctional;False;5;1;0;0.5
[Assembly] Multifunctional;False;6;1;0;0.5
[Assembly] Multifunctional;False;7;0.8;0.15;0.5
[Assembly] Multifunctional;False;8;0.8;0.15;0.7
[Assembly] Multifunctional;False;9;0.8;0.15;0.7
[Assembly] Multifunctional;False;10;0.8;0.15;0.5
[Assembly] Multifunctional;False;11;0.8;0.05;0.5
[Assembly] Multifunctional;False;12;0.8;0.05;0.6
[Assembly] Multifunctional;False;13;0.8;0.05;0.6
[Assembly] Multifunctional;False;14;0.8;0.05;0.6
[Assembly] Multifunctional;False;15;0.8;0.05;0.6
[Assembly] Multifunctional;False;16;0.8;0.05;0.5
[Assembly] Multifunctional;False;17;0.8;0.2;0.5
[Assembly] Multifunctional;False;18;0.8;0.2;0.7
[Assembly] Multifunctional;False;19;0.8;0.2;0.7
[Assembly] Multifunctional;False;20;0.8;0.2;0.8
[Assembly] Multifunctional;False;21;0.8;0.2;0.8
[Assembly] Multifunctional;False;22;0.8;0.2;0.8
[Assembly] Multifunctional;False;23;1;0.15;0.6
[Assembly] Multifunctional;False;24;1;0.15;0.6
[FNB] Restaurant;True;1;1;0;0.5
[FNB] Restaurant;True;2;1;0;0.5
[FNB] Restaurant;True;3;1;0;0.5
[FNB] Restaurant;True;4;1;0;0.5
[FNB] Restaurant;True;5;1;0;0.5
[FNB] Restaurant;True;6;1;0;0.5
[FNB] Restaurant;True;7;0.5;0.15;0.5
[FNB] Restaurant;True;8;0.5;0.15;0.7
[FNB] Restaurant;True;9;0.5;0.15;0.7
[FNB] Restaurant;True;10;0.1;0.15;0.5
[FNB] Restaurant;True;11;0.1;0.05;0.5
[FNB] Restaurant;True;12;0.1;0.05;0.6
[FNB] Restaurant;True;13;0.1;0.05;0.6
[FNB] Restaurant;True;14;0.2;0.05;0.6
[FNB] Restaurant;True;15;0.2;0.05;0.6
[FNB] Restaurant;True;16;0.2;0.05;0.5
[FNB] Restaurant;True;17;0.5;0.2;0.5
[FNB] Restaurant;True;18;0.5;0.2;0.7
[FNB] Restaurant;True;19;0.5;0.2;0.7
[FNB] Restaurant;True;20;0.8;0.2;0.8
[FNB] Restaurant;True;21;0.8;0.2;0.8
[FNB] Restaurant;True;22;0.8;0.2;0.8
[FNB] Restaurant;True;23;1;0.15;0.6
[FNB] Restaurant;True;24;1;0.15;0.6
[FNB] Restaurant;False;1;0;0;0
[FNB] Restaurant;False;2;0;0;0
[FNB] Restaurant;False;3;0;0;0
[FNB] Restaurant;False;4;0;0;0
[FNB] Restaurant;False;5;0;0;0
[FNB] Restaurant;False;6;0;0;0
[FNB] Restaurant;False;7;0;0;0
[FNB] Restaurant;False;8;0;0;0
[FNB] Restaurant;False;9;0;0;0
[FNB] Restaurant;False;10;0;0;0
[FNB] Restaurant;False;11;0;0;0
[FNB] Restaurant;False;12;0;0;0
